NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL011,-0.03664825580110371,-0.04835845611705877,-0.024973939758449387,-0.012730375490494234,98,0.714
AL012,-0.039358976123004784,-0.05220530132716118,-0.02712180569294724,-0.012313914128102567,96,0.719
AL013,-0.03883255622706319,-0.04754046317311422,-0.02574944383682683,-0.01460468345475945,98,0.745
AL014,-0.039375976849211236,-0.0504401968726734,-0.026205044578819583,-0.014358271852889704,98,0.735
AL015,-0.038074510195837095,-0.049468392280527476,-0.023379609313208677,-0.01226145313943267,94,0.702
AL021,-0.03977450871831257,-0.05304180578171218,-0.023276974507745286,-0.01243734982577844,97,0.701
AL022,-0.03995665352551553,-0.05395226916754231,-0.02789969343025326,-0.012484886581240785,94,0.702
AL031,-0.040350314729326986,-0.05230875889425801,-0.029735580529574986,-0.013704030802211678,90,0.744
AL032,-0.0379895221244013,-0.050339772918171384,-0.028022969772438774,-0.01249820215678206,95,0.705
AL033,-0.046095601871489734,-0.06974724694127357,-0.030154213438833673,-0.013575720206799539,93,0.72
AL034,-0.04691540861606018,-0.0647253594696516,-0.031219330820777696,-0.016758795168835147,89,0.775
AL035,-0.04722699929190716,-0.06972364521022664,-0.03213651136512318,-0.011960236888002403,92,0.696
